tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),lfd,qx,94,0.20180444636993516,0.11083435633318788,76.70225801595664
(all),(all),lfd,qx,95,0.2259492382713562,0.17190723961604018,47.853816046966735
(all),(all),lfd,qx,96,0.25298288947997066,0.17249755847012868,26.485917507150383
(all),(all),lfd,qx,97,0.2832511410776124,0.39901932027161907,12.036865873852175
(all),(all),lfd,qx,98,0.31714091249504656,0.4400117239312263,3.545333433689598
(all),(all),lfd,qx,99,0.35508548023568426,0,2
(all),(all),lfd,sx,0,NA,0.051699796663540604,1241151.248901099
(all),(all),lfd,sx,1,NA,0.047809716939586376,2187009.134314316
(all),(all),lfd,sx,2,NA,0.044662406943913976,2036357.2787294898
(all),(all),lfd,sx,3,NA,0.04304110907521106,1910236.379369261
(all),(all),lfd,sx,4,NA,0.04045458849802028,1861623.4053138641
(all),(all),lfd,sx,5,NA,0.03998912593319271,1779879.735300316
(all),(all),lfd,sx,6,NA,0.03649958994275989,1724914.1427894025
(all),(all),lfd,sx,7,NA,0.03229945377336265,1807725.99339154
(all),(all),lfd,sx,8,NA,0.029458295148463848,1816468.3232876712
(all),(all),lfd,sx,9,NA,0.025791567521352875,1912546.4884239049
(all),(all),lfd,sx,10,NA,0.04665376641877231,1678339.5309047117
(all),(all),lfd,sx,11,NA,0.07394908822065388,1378139.627163932
(all),(all),lfd,sx,12,NA,0.03450298254695934,1152963.4236865875
(all),(all),lfd,sx,13,NA,0.030228128976015865,1006809.2642255005
(all),(all),lfd,sx,14,NA,0.027269345008533563,791715.5429098299
(all),(all),lfd,sx,15,NA,0.02741753963104742,690573.7349390336
(all),(all),lfd,sx,16,NA,0.023488053585548455,620856.2615685684
(all),(all),lfd,sx,17,NA,0.02160585682057758,556684.5736941141
(all),(all),lfd,sx,18,NA,0.020357852128393396,493504.12003612827
(all),(all),lfd,sx,19,NA,0.017735508802577446,435616.25101610716
(all),(all),lfd,sx,20,NA,0.021262235300812737,318928.57094686135
(all),(all),lfd,sx,21,NA,0.02081946135738717,217886.60699232275
(all),(all),lfd,sx,22,NA,0.018829329016179938,191863.69920216769
(all),(all),lfd,sx,23,NA,0.018162508707026282,168040.0976441367
(all),(all),lfd,sx,24,NA,0.01625287166299525,160441.53022730694
(all),(all),lfd,sx,25,NA,0.01629828714699146,123537.96570073762
(all),(all),lfd,sx,26,NA,0.016602028408110113,94020.69224747855
(all),(all),lfd,sx,27,NA,0.01738282963122589,84857.71339003462
(all),(all),lfd,sx,28,NA,0.01504707843455401,74730.50897937678
(all),(all),lfd,sx,29,NA,0.013619087814727667,54913.546605449344
(all),(all),lfd,sx,30,NA,0.015063960612802218,39661.929768177026
(all),(all),lfd,sx,31,NA,0.01729738533602146,30662.030076772542
(all),(all),lfd,sx,32,NA,0.01621729690948904,27095.012885744392
(all),(all),lfd,sx,33,NA,0.015447682931067712,24858.800835465903
