"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
beta,6,-0.04142639207,-0.03887420056,-0.03496311476,-0.01794390498,-0.03758814494,-0.03381169019,-0.0363972483,-0.04036257031,-0.04054767994,-0.03701309866,-0.03541585858,-0.02511909184
beta,7,-0.0406670371,-0.03830749094,-0.03487787573,-0.01613563184,-0.03636820696,-0.03314836671,-0.03569029962,-0.03875259997,-0.03961336224,-0.03637867554,-0.03510147325,-0.02252712822
beta,8,-0.03982641351,-0.03772138857,-0.03479990493,-0.01434947651,-0.0351557649,-0.03250117234,-0.03502131278,-0.03719869756,-0.03855320567,-0.03571229751,-0.03482028376,-0.01993762612
beta,9,-0.03886157889,-0.03711063489,-0.03474949912,-0.01256751676,-0.03398696139,-0.03188339332,-0.03436884246,-0.03567460855,-0.03740162087,-0.0350192392,-0.03458744392,-0.01738246255
beta,10,-0.03788393179,-0.03660358215,-0.03474079313,-0.01081731842,-0.0329414211,-0.03129713625,-0.03372797613,-0.03416466168,-0.03632613884,-0.03441530273,-0.03439638659,-0.01483614519
beta,11,-0.03688414168,-0.03607659008,-0.03476836013,-0.009065030256,-0.03192824493,-0.03071098873,-0.03309578989,-0.03266716567,-0.035169895,-0.03378163566,-0.03424624637,-0.01228657223
beta,12,-0.03600022038,-0.03569635837,-0.03481711135,-0.01046995023,-0.0310028301,-0.03019687611,-0.03252305186,-0.03121195376,-0.0341692548,-0.03333927296,-0.03409460502,-0.009827744678
beta,13,-0.0352130854,-0.03537527418,-0.03489896336,-0.01185229703,-0.03017273716,-0.02974717844,-0.03208384926,-0.02977458787,-0.03328622123,-0.03296931559,-0.03397269656,-0.01137214488
beta,14,-0.03436084177,-0.03505204517,-0.03501197686,-0.01321928638,-0.02953266185,-0.02939615681,-0.03166647163,-0.02837331809,-0.03242417057,-0.03262516169,-0.03387728551,-0.01290569026
beta,15,-0.03372709631,-0.03489501745,-0.03517312371,-0.01457133026,-0.02898563129,-0.02913396465,-0.03127614643,-0.02697098725,-0.03177071067,-0.03245406437,-0.03388530547,-0.01440200266
beta,16,-0.03347251849,-0.03501875657,-0.03542773484,-0.01591252683,-0.0285406642,-0.02890586451,-0.03093680314,-0.02558903364,-0.03149596123,-0.03254390086,-0.03403357298,-0.01582298194
beta,17,-0.03262372953,-0.03491139449,-0.03566102435,-0.01719603663,-0.02797475098,-0.02849733416,-0.030583214,-0.02431387602,-0.03074338603,-0.03237386563,-0.03416226334,-0.01720204706
beta,18,-0.0318651705,-0.03473057848,-0.03586318397,-0.0183896875,-0.02744705617,-0.02820804798,-0.03023133794,-0.02303026269,-0.03007306504,-0.03228046399,-0.03428662108,-0.01845688711
beta,19,-0.03076555363,-0.03412806992,-0.03582188026,-0.01941493349,-0.02695486558,-0.02796612551,-0.02984532624,-0.0217356994,-0.02913822491,-0.0318077961,-0.03415550642,-0.01949017247
beta,20,-0.0296405645,-0.0334649557,-0.03561363927,-0.02034227121,-0.02637494105,-0.02766847712,-0.02946202958,-0.0204281707,-0.02810915333,-0.03120853568,-0.03385078373,-0.02040363551
beta,21,-0.02876443816,-0.03286992131,-0.03537762907,-0.02118769952,-0.02598960033,-0.02749062587,-0.02910445683,-0.01917066788,-0.02741677335,-0.0307406478,-0.03353939865,-0.02124771288
beta,22,-0.02795030382,-0.03239694257,-0.03506156307,-0.02190484906,-0.02571502638,-0.02738748694,-0.02880816817,-0.01792169434,-0.0268043052,-0.0304130028,-0.0331966175,-0.02197579493
beta,23,-0.027203861,-0.03194259788,-0.0347491494,-0.0225118046,-0.02557801376,-0.02731618395,-0.02857441768,-0.01668433178,-0.02630818196,-0.03013606206,-0.03290434056,-0.02258560593
beta,24,-0.02665011075,-0.03152578442,-0.03445486497,-0.02305407557,-0.02545842002,-0.0271952655,-0.02833851,-0.01545973318,-0.0259537931,-0.02980494691,-0.03262501269,-0.02311163843
beta,25,-0.02626459583,-0.03117770106,-0.03414834521,-0.02354362315,-0.0252988116,-0.02704787802,-0.02805990631,-0.01423447606,-0.02569274661,-0.02948976348,-0.03227975033,-0.0235704437
beta,26,-0.02609579425,-0.03104666914,-0.03387427294,-0.02395727694,-0.02516806685,-0.02698279362,-0.02788946308,-0.01307268116,-0.02555063118,-0.02941053902,-0.03203520532,-0.02393335876
beta,27,-0.0261508612,-0.03101044324,-0.03363189774,-0.02431340031,-0.02522992862,-0.02699269513,-0.02775637113,-0.01187856723,-0.02577125511,-0.02950117626,-0.03189346562,-0.02425073134
